 No.             Date/Time Location ID ID Number VerifyCode     CardNo

   1 2022-12-19 9:29:13 AM           1                   RF 0007209334
   1 2022-12-19 9:29:14 AM           1                   RF 0007209334
   2 2022-12-19 9:26:00 AM           1                   FP           
   4 2022-12-19 9:15:02 AM           1                   FP           
   6 2022-12-19 9:05:41 AM           1                   FP           
   7 2022-12-19 8:52:21 AM           1                   FP           
   9 2022-12-19 9:32:16 AM           1                   FP           
  11 2022-12-19 9:30:33 AM           1                   FP           
  12 2022-12-19 9:27:56 AM           1                   FP           
  14 2022-12-19 9:42:34 AM           1                   FP           
  15 2022-12-19 9:29:28 AM           1                   FP           
  17 2022-12-19 9:29:30 AM           1                   FP           
  20 2022-12-19 9:30:42 AM           1                   FP           
  21 2022-12-19 9:27:52 AM           1                   FP           
  23 2022-12-19 9:29:11 AM           1                   FP           
  25 2022-12-19 9:07:31 AM           1                   FP           
  27 2022-12-19 9:27:41 AM           1                   FP           
  32 2022-12-19 9:06:12 AM           1                   FP           
  37 2022-12-19 9:39:39 AM           1                   FP           
  38 2022-12-19 9:16:19 AM           1                   FP           

